Best Engineering Contribution - Novelty,"b'The Civil War, Vol. I'",b'Martin Gabel & Frederick Fennell'
Best Recording For Children,b"Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra",b'Leonard Bernstein'
Best Rock & Roll Recording,b'Alley Cat',b'Bent Fabric'
Best Country & Western Recording,b"Funny Way Of Laughin'",b'Burl Ives'
Best Rhythm & Blues Recording,b"I Can't Stop Loving You",b'Ray Charles'
Best Folk Recording,b'If I Had A Hammer',"b'Peter, Paul And Mary'"
Best Gospel Or Other Religious Recording,b'Great Songs Of Love And Faith',b'Mahalia Jackson'
Best New Artist Of 1962,b'Robert Goulet',b'Robert Goulet'
Record Of The Year,b'Days Of Wine And Roses',b'Henry Mancini'
Album Of The Year (Other Than Classical),b'The Barbra Streisand Album',b'Barbra Streisand'
Classical Album Of The Year,b'Britten: War Requiem',"b'Lord Benjamin Britten, conductor'"
Song Of The Year,b'Days Of Wine And Roses',"b'Henry Mancini & Johnny Mercer, songwriters (Henry Mancini)'"
Best Instrumental Theme,b'More - Theme From Mondo Cane',b'Vic Dana'
"Best Vocal Performance, Female",b'The Barbra Streisand Album',b'Barbra Streisand'
"Best Vocal Performance, Male",b'Wives And Lovers',b'Jack Jones'
Best Instrumental Jazz Performance - Soloist Or Small Group,b'Conversations With Myself',b'Bill Evans'
Best Instrumental Jazz Performance - Large Group,"b'Encore: Woody Herman, 1963'",b'Woody Herman'
Best Original Jazz Composition,b'Gravy Waltz',b'Steve Allen'
Best Performance By An Orchestra - For Dancing,b"This Time By Basie! Hits Of The 50's And 60's",b'Count Basie'
Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,b'Java',b'Al Hirt'
Best Instrumental Arrangement,b"I Can't Stop Loving You",b'Count Basie'
Best Background Arrangement (Behind vocalist or instrumentalist),b'Days Of Wine And Roses',b'Henry Mancini'
Best Performance By A Vocal Group,b"Blowin' In The Wind","b'Peter, Paul And Mary'"
Best Performance By A Chorus,b"Bach's Greatest Hits",b'The Swingle Singers'
Best Original Score From A Motion Picture Or Television Show,b'Tom Jones',b'John Addison'
Best Score From An Original Cast Show Album,b'She Loves Me',"b'Barbara Cook, Barbara Baxley, Jack Cassidy, Daniel Massey, Nathaniel Frey, Ralph Williams, Jo Wilder'"
Best Classical Performance - Orchestra,b'Bart\xc3\xb3k: Concerto For Orchestra',"b'Erich Leinsdorf, conductor'"
Best Classical Performance - Chamber Music,b'Evening Of Elizabethan Music',b'Julian Bream Consort'
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),b'Tchaikovsky: Piano Concerto No. 1 In B Flat Minor',"b'Artur Rubinstein, piano'"
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),b'The Sound Of Horowitz',"b'Vladimir Horowitz, piano'"
Best Opera Recording,b'Puccini: Madama Butterfly',"b'Erich Leinsdorf, conductor'"
